model_id,unit_id,stratum,route,metric_m1_x,metric_m1_y,metric_m2,metric_m3,metric_m4,metric_m5,paired_anchor_error,paired_future_error,unit_pass,autonomous_transition_count
development_model_3,joint_unit_0381,S1_no_contact,matched_wrong_vector,0.09044572203825751,0.45789523366513285,0.5424740656422,0.23961551346390772,0.08886335944219664,9.69449058175087,0.45789523366513285,0.23961551346390772,false,12
development_model_3,joint_unit_0382,S1_no_contact,matched_wrong_vector,0.017521684864288036,0.44821173848108836,0.3923136494118048,0.19848601414070335,0.11034748975203462,7.289273291826248,0.44821173848108836,0.19848601414070335,false,12
development_model_3,joint_unit_0385,S1_no_contact,matched_wrong_vector,0.2165574127791599,0.34438528551992514,0.4737546251778087,0.2300608510847228,0.037707309668458075,1.227546390146017,0.34438528551992514,0.2300608510847228,true,12
development_model_3,joint_unit_0389,S1_no_contact,matched_wrong_vector,0.5745905197168067,0.4307761511650507,0.8792917753905185,0.30093133787102333,0.08521000105421933,7.581616938114166,0.5745905197168067,0.30093133787102333,false,12
development_model_3,joint_unit_0392,S1_no_contact,matched_wrong_vector,0.20801976017193505,0.08615744334740305,0.28700601796600306,0.1410691216952052,0.04252662394660713,8.445046842098236,0.20801976017193505,0.1410691216952052,true,12
development_model_3,joint_unit_0394,S1_no_contact,matched_wrong_vector,0.4280703910158276,0.3975444775295614,0.7473310703030874,0.30878911180630114,0.0532764607163928,0.45644077472388744,0.4280703910158276,0.30878911180630114,false,12
development_model_3,joint_unit_0395,S1_no_contact,matched_wrong_vector,0.07513740981705445,0.474231588984856,0.4655160949603609,0.21940250053984098,0.09580036263910044,5.362314730882645,0.474231588984856,0.21940250053984098,false,12
development_model_3,joint_unit_0398,S1_no_contact,matched_wrong_vector,0.3907548430305848,0.31532540972377443,0.533638318475811,0.2589236207917611,0.09243614393053783,5.059469118714333,0.3907548430305848,0.2589236207917611,false,12
development_model_3,joint_unit_0400,S1_no_contact,matched_wrong_vector,0.0452708159046354,0.21099202861417418,0.1904138801821984,0.09969859650901183,0.051856120920933724,4.892440140247345,0.21099202861417418,0.09969859650901183,true,12
development_model_3,joint_unit_0402,S1_no_contact,matched_wrong_vector,0.4051755975942948,0.24191519789954147,0.6509191693893904,0.25090482711600515,0.06976529296231068,1.805831491947174,0.4051755975942948,0.25090482711600515,false,12
development_model_3,joint_unit_0403,S1_no_contact,matched_wrong_vector,0.4414661107467465,0.40190174414652363,0.6534873965447322,0.3105124481081612,0.04818038046235354,5.422956496477127,0.4414661107467465,0.3105124481081612,false,12
development_model_3,joint_unit_0405,S1_no_contact,matched_wrong_vector,0.20625861818237756,0.1909854105940561,0.38163147526825786,0.16384266994836308,0.036426596830728124,0.4135694820433855,0.20625861818237756,0.16384266994836308,true,12
development_model_3,joint_unit_0407,S1_no_contact,matched_wrong_vector,0.19655241912699126,0.1881471373796402,0.30118940319922455,0.1488216865746086,0.0202908189422185,0.4049550276249647,0.19655241912699126,0.1488216865746086,true,12
development_model_3,joint_unit_0410,S1_no_contact,matched_wrong_vector,0.43956566964283683,0.3054916525849309,0.7152863540116586,0.2780504464229087,0.05676631149740103,0.45951311476528645,0.43956566964283683,0.2780504464229087,false,12
