public_unit_id,family,seed,route,edited_object,delta_vx,delta_vy,M1,joint_pass,anchor_rmse,k1_rmse,t19_rmse
joint-50af49320c1511a0d6c6,M1,291301,single_only_addressable,1,0.1320015236735344,0.1320015236735344,0.33982537584677525,true,0.056975124102439,0.06299479773379708,0.18404096093254993
joint-4664e26abb95085a572a,M1,291301,single_only_addressable,1,-0.1320015236735344,-0.1320015236735344,0.275850000755195,true,0.060384409971662514,0.05389937938461515,0.3047408033716826
joint-79aa8ba0c5489ddf2497,M1,291301,single_only_addressable,1,0.0660007618367672,0.0660007618367672,0.17134802011108302,true,0.03450332303238909,0.03578856624214477,0.12427197745857943
joint-d987f2e8f59153959f0b,M1,291301,single_only_addressable,0,0.0660007618367672,-0.0660007618367672,0.1782732726295204,true,0.04046585538722356,0.037501598162939735,0.15134004466779388
joint-cb8130fb1c35fd8e7b18,M1,291301,single_only_addressable,0,0.1320015236735344,0.1320015236735344,0.14902384680645575,true,0.03553843283526235,0.029043133460102045,0.08922862036532388
joint-d18a1d26ca0c2d035ee3,M1,291301,single_only_addressable,1,-0.0660007618367672,0.0660007618367672,0.303872874779727,true,0.06281657875777344,0.052095126769563356,0.1758333360356042
joint-da2f34f1c087e97b1afb,M1,291301,single_only_addressable,0,-0.0660007618367672,0.0660007618367672,0.2813969168314741,true,0.042389156245385855,0.05097012599188154,0.16246982854080125
joint-d61e8bcf8b85f15c898a,M1,291301,single_only_addressable,1,-0.0660007618367672,-0.0660007618367672,0.05153042035950758,true,0.008881918331282126,0.016546333197397994,0.04482239236745965
joint-4de8fb543630717fe750,M1,291301,single_only_addressable,1,0.0660007618367672,0.1320015236735344,0.21364014545598725,true,0.033458713278741434,0.03246697958732731,0.09952653525951437
joint-dc3cf8ce3539277e0726,M1,291301,single_only_addressable,0,-0.0660007618367672,-0.1320015236735344,0.36718922720993985,true,0.05494441394033091,0.06440550631643635,0.2549220485415216
joint-afc74f4446a723051311,M1,291301,single_only_addressable,0,0.1320015236735344,0.0660007618367672,0.18052662045841636,true,0.030194969971309403,0.0325086449949802,0.16739775126127782
joint-b8e91cf056a2850aa06d,M1,291301,single_only_addressable,1,0.1320015236735344,0.1320015236735344,0.3849186793389903,true,0.07352855075422937,0.0636758261229202,0.20292624599474607
joint-1f313d8436034e3c8a2f,M1,291301,single_only_addressable,0,0.0660007618367672,-0.0660007618367672,0.24531734783993073,true,0.03947103778671203,0.04092507266387201,0.1254288657746854
joint-86283058a19cd7794f47,M1,291301,single_only_addressable,1,-0.1320015236735344,0.1320015236735344,0.5549912304873577,false,0.09519117924985224,0.08260357321933261,0.33076317454455273
