model_id,unit_id,stratum,coefficient_max_abs_error,patch_max_abs_error,rollout_max_abs_error
development_model_1,joint_unit_0292,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0293,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0294,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0296,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0298,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0300,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0301,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0302,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0303,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0304,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0306,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0307,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0308,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0312,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0314,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0315,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0319,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0325,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0327,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0329,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0331,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0332,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0333,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0334,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0335,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0337,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0338,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0340,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0341,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0344,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0347,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0348,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0350,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0351,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0354,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0355,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0359,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0360,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0361,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0362,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0368,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0369,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0373,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0374,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0377,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0380,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0381,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0382,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0385,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0389,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0392,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0394,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0395,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0398,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0400,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0402,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0403,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0405,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0407,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0410,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0412,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0413,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0415,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0416,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0417,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0418,S1_no_contact,3.552713678800501e-15,0.0,0.0
