family,seed,public_unit_id,E_full_oracle,E_request_oracle,E_base_oracle,coefficient_decomposition_residual,hidden_decomposition_residual
M1,291302,joint-96bbd61ef63ebf358d5e,0.5914368079023659,0.788773055148454,1.974100470524727,1.1920928955078125e-07,2.8075692881657233e-08
M1,291302,joint-71226efdc82c7b8eb4e1,0.8576367955017639,0.690744307860044,1.8486656521460398,0.0,3.992704833422067e-08
M1,291302,joint-2b6a5ce6c26b3991652e,0.14404956959451548,0.24792320655826058,1.6766748266199765,0.0,1.6402395441872386e-08
M1,291302,joint-c45a492c6ab0e2e5bfbe,1.0783496948325486,0.8843899853711839,1.8371238161550048,1.1920928955078125e-07,5.6090040945200315e-08
M1,291302,joint-b2b2ebaf8b3253aafde3,0.3858966609916523,0.5523369626651939,1.551889150205958,0.0,4.406973896919908e-08
M1,291302,joint-58d5f239e12552c3626e,0.2917927750759278,0.31693695953130474,1.9670877238359128,0.0,2.456623127145008e-08
M1,291302,joint-fc2b76f0772372bf8c3c,0.2877045132596131,0.17498181893459921,1.5376756147783717,0.0,3.2440726771554296e-08
M1,291302,joint-fe2aefddb9b7745686ad,1.1326857133526158,1.0105577105694887,1.5438274480550085,0.0,1.8569298543269497e-08
M1,291302,joint-8b6ff975d45da97a4933,0.25529239950200655,0.12595796793241532,1.787835521706284,0.0,2.7221404325095122e-08
M1,291302,joint-175e17d0ef9573bac40e,0.754259155290933,0.8501638667359989,1.9713285734298167,0.0,6.639563920884939e-08
M1,291302,joint-a3d06b9cb0966439eddd,0.36378334009474644,0.5176509020545152,1.353589456976845,5.960464477539063e-08,3.3292569590059884e-08
M1,291302,joint-04c90cd2b55e51d7395c,0.2639191642429959,0.42685221713480376,1.5392086729617036,2.384185791015625e-07,4.791122587555208e-08
M1,291302,joint-03d19206c4766692b70a,0.6494235956112775,0.8200097537295645,1.967989677175741,0.0,1.4037846440828616e-08
M1,291302,joint-f3533a47857412ee6574,0.884401772260154,0.8292860260558487,1.3794421583772396,0.0,2.1442897124579474e-08
M1,291302,joint-19e423cc276169fd1073,0.3353513798432207,0.022455221711755086,1.599090472262675,0.0,3.856190322615305e-08
M1,291302,joint-ff96f3eeddc533681410,0.35766739384332286,0.4632854796179167,1.8052905638997097,7.450580596923828e-09,3.6276890602593426e-08
M1,291302,joint-c4e21270ec4d0d7be262,0.4732628001924023,0.57300873994167,1.9981518828388642,0.0,4.7795976954034813e-08
M1,291302,joint-f3c2aa3445150de38445,0.723976317452666,0.6848407408096926,1.4892096330327302,0.0,2.6292206745104352e-08
M1,291302,joint-9b1bd063fe31242ee1d4,0.7576380537174344,0.9319390523496579,1.7993168919112494,1.4901161193847656e-08,5.927072166400649e-09
M1,291302,joint-dc07119105a4b0f17fef,0.24618888437022537,0.350599040476823,1.7094407277285828,5.960464477539063e-08,9.841212289529722e-08
M1,291302,joint-e62d176dd1f3b78034aa,0.9219841829449458,0.7691449847893816,1.5038292486478588,0.0,4.990881041777584e-09
M1,291302,joint-7fb044ff7f38057c2332,0.737119110107495,0.7124128176308535,1.5074174118598807,0.0,3.259302094882344e-08
M1,291302,joint-86e6ae730070eee6983b,1.0425140264961084,0.9180522243006511,1.336868721509401,1.1920928955078125e-07,2.6291650634391317e-08
M1,291302,joint-9a206f19112cd83d8451,0.2620317164192185,0.1855135743816669,1.777511508403409,0.0,1.7626198167697282e-08
M1,291302,joint-d9be6f5c2e8106f0264a,0.3975678786678984,0.09401036021412648,1.6437953724000285,0.0,2.8255385142728073e-08
M1,291302,joint-6f8a92fc80c9c4920afe,0.9767837437389674,0.6085263349012143,1.7729216662214684,5.960464477539063e-08,1.4022510264055654e-08
M1,291302,joint-2a31fc646bfd539046d7,0.4420074859809071,0.47922838628798364,1.7532017520548666,0.0,1.3145825317195658e-08
M1,291302,joint-e8ed568644109d3c68dd,0.9308322755938455,0.7711822991324203,1.4743065284660941,0.0,2.0293457692055483e-08
M1,291302,joint-310c46903e1f1c1d5a60,0.5916420561336164,0.7791054549284144,1.9821003919109097,0.0,1.6402395441872386e-08
M1,291302,joint-1285f64b5ffdc41a435d,0.8579976524191166,0.9728133630407833,1.886337111044239,0.0,1.442716562882751e-08
M1,291302,joint-70524fe1e7c2518c400a,0.22223804433496833,0.04348707522289594,1.7686801592470978,0.0,3.283523963837354e-08
M1,291302,joint-41ae71c0e6c6d51506eb,0.9648579577164464,0.8755554941684427,1.164760691019039,0.0,2.3442702001830185e-08
M1,291302,joint-f2a415df92c5dbd9c22b,0.8342103523462912,0.7340909758390974,1.6153690376515006,0.0,5.271688641173e-08
M1,291302,joint-05f0f9643ecc833a54a1,0.2721512632600073,0.1683857271664402,1.8317600140779084,0.0,3.668918324706283e-08
M1,291302,joint-6731d5008cdff8444b8a,0.12190246728830069,0.2247012225481719,1.9701585537692652,0.0,1.7781216499201946e-08
M1,291302,joint-cd5d57fb2d2fc404ed88,0.27497600253977655,0.039799259353991756,1.725501337957266,0.0,1.9164877018695847e-08
M1,291302,joint-c73f7954cc710bf9d63c,0.5613276861884279,0.6219808211227315,1.8388248326150556,0.0,2.9607569285161617e-08
M1,291302,joint-8c80649d97868318c9fe,0.4212487949077199,0.26442746956324,1.4565233779366369,0.0,1.1996385884671668e-08
M1,291302,joint-e8ffd69e58705acdb563,0.6961578767021261,0.6308229726253889,1.5409212182035237,0.0,1.4042008444903331e-08
M1,291302,joint-2474a6ed6bbe4f7e1b97,0.9932918174700984,0.4291976077232522,1.6248561736569365,0.0,5.758059362648282e-09
M1,291302,joint-1b6c644185589ebc48c8,0.23448674322415825,0.10440016350300102,1.5975185561661525,0.0,4.3807153460306836e-08
M1,291302,joint-efe7c8a0a11bb35094e0,0.6711273904610743,0.36243367886129624,1.950008954901617,1.4901161193847656e-08,5.580998729826092e-08
M1,291302,joint-9ea456682d298ae62b43,0.1882175486788519,0.11348638735340694,1.941145401213204,2.384185791015625e-07,7.211416308550156e-08
M1,291302,joint-7d924a87e8568d82b71b,0.7542931634844593,0.7429283813764728,1.5251122796564445,0.0,1.79945788270075e-08
M1,291302,joint-f012efad790d4bcb5275,0.6400713803645344,0.5153116231510052,1.7451654657515243,5.960464477539063e-08,1.9963524167110336e-08
M1,291302,joint-99a2122f162a74088f58,0.13818177752324926,0.04920490575890194,1.8976787293286652,0.0,4.270618969570705e-08
M1,291302,joint-ce884c4d333127e8b6dc,0.12169391277871591,0.22536669814438023,1.6750620085164094,0.0,2.8075692881657233e-08
M1,291302,joint-50af49320c1511a0d6c6,0.365723231006153,0.5073489462109686,1.3119484774020238,1.1920928955078125e-07,6.811965302944145e-08
M1,291302,joint-4664e26abb95085a572a,0.6666476849160814,0.30271325663613896,1.7827580192566588,0.0,4.6436401390792525e-08
M1,291302,joint-79aa8ba0c5489ddf2497,0.2666990177096706,0.18551509792991228,1.522353237767359,0.0,2.5297782146882497e-08
M1,291302,joint-d987f2e8f59153959f0b,0.25981121217417275,0.519766800301425,1.2484560658776163,0.0,1.754730805103577e-08
M1,291302,joint-cb8130fb1c35fd8e7b18,0.025423819032137054,0.10185581711655275,1.9633376040260637,0.0,9.286327040669562e-08
M1,291302,joint-d18a1d26ca0c2d035ee3,0.5845282309135554,0.5305029471328436,1.1577778474544773,0.0,1.1516118725296565e-08
M1,291302,joint-da2f34f1c087e97b1afb,0.5319027138169525,0.7071077114698032,1.9834589043932471,5.960464477539063e-08,2.283832323257684e-08
M1,291302,joint-d61e8bcf8b85f15c898a,0.8421360646199614,0.7982125321576369,1.3931726479602553,0.0,1.3145825317195658e-08
M1,291302,joint-4de8fb543630717fe750,0.7813185003608036,0.6922518294704859,1.5321758967658963,0.0,2.5258993785470807e-08
M1,291302,joint-dc3cf8ce3539277e0726,0.6223166332359661,0.5304765688266004,1.3848544963722933,0.0,2.851437530537737e-09
M1,291302,joint-afc74f4446a723051311,0.8530619293162044,0.9555372561891436,1.8413810784919225,2.384185791015625e-07,5.278750769832641e-08
M1,291302,joint-b8e91cf056a2850aa06d,0.2088464317379115,0.23472874762101864,1.7981214463292174,0.0,4.990881041777584e-08
M1,291302,joint-1f313d8436034e3c8a2f,0.42044838176484184,0.26977410077749686,1.2139270735439494,0.0,5.927072166400649e-09
M1,291302,joint-86283058a19cd7794f47,0.4357819930671318,0.545946556868223,1.4458440106252624,2.384185791015625e-07,4.606447490118626e-08
M1,291302,joint-a5ed81533299a3f553ae,0.8311810802652871,0.7360489694891098,1.4773706559580098,0.0,4.089655869510267e-08
M1,291302,joint-1b3125f558c72b1ea5e4,0.36307604329792303,0.22225231473954649,1.52951875224028,0.0,1.8181016248064452e-08
M1,291302,joint-3dcb938aa6f788013529,0.1772450193463765,0.31828300360434897,1.122097329948695,2.384185791015625e-07,4.741657733120519e-08
M1,291302,joint-f3d0c584cd58125ec9bd,0.3152401204588929,0.5112226521719154,1.488737986958728,0.0,2.6923688167812543e-08
