public_unit_id,family,seed,stratum,vector_class,E_add,R_norm,R_norm_error,cos_add,cos_xy
joint-3dcb938aa6f788013529,M2,291502,future_contact,P0,0.15996304874787226,0.9538739113597433,0.04722378465487463,0.988314027367154,-0.06021751332088856
joint-f3d0c584cd58125ec9bd,M2,291502,future_contact,P1,0.12116859727914077,1.0453540984085883,0.044355678171786345,0.9936393486333648,0.1248548325897793
joint-a4fe2bd135f56d3a3b4d,M2,291502,future_contact,P2,0.37364166020595124,0.8120252379470527,0.2082238580878879,0.9511936182949401,0.1768693924757487
joint-baf9ad5b2a0e2663433b,M2,291502,future_contact,P3,0.5892129746200924,0.8321342300018247,0.18376151703707214,0.841876194850337,-0.02412903542641218
joint-63dd4abeb6e1325c7806,M2,291502,no_contact_within_horizon,P3,0.8105855314801953,1.1983421313763158,0.18093904437751687,0.6851934963062972,0.6585190439232382
joint-89a8114aac92bfca40db,M2,291502,future_contact,P1,0.1863773888899593,0.8608762763570286,0.14980448249078146,0.9937758012932038,-0.022849753950517165
joint-fdd9add87d3e0887f0db,M2,291502,no_contact_within_horizon,P0,0.8367038880018601,1.0361805393339922,0.035541394421178256,0.6504844113346215,-0.11016458358109318
joint-8deb233befdaaa44244e,M2,291502,future_contact,P1,0.545941006977049,0.7486325921312414,0.2895069470146498,0.8900303718360888,0.18457636310765688
joint-750a25537e1c577ecb17,M2,291502,future_contact,P2,0.31563240923825353,0.8707294391223066,0.1384239828516711,0.9595450031596541,0.04919668123253759
joint-d20c3c92116f8fce3c1e,M2,291502,future_contact,P2,0.2484885379076305,0.9066620561393595,0.09798549351354546,0.9738569797851221,0.024082980615329867
joint-83912571774477870e69,M2,291502,no_contact_within_horizon,P2,0.3803224324031454,1.2605912510273711,0.23158085774863424,0.953638323613109,0.45707319660553114
joint-0b091357d2bc89169b82,M2,291502,future_contact,P3,0.3361299052421754,0.8591985499287401,0.1517552429282858,0.9547194152959448,0.3003875904056118
joint-79a2726c7c85c127d89d,M2,291502,future_contact,P3,0.2624154789508182,0.9424018951373505,0.0593234551176618,0.9672989086305271,0.10123176749012001
joint-ff0e8b614b34aecce4b3,M2,291502,future_contact,P1,0.32056236496888024,1.0853132962449066,0.08186869761095417,0.9518868574363946,0.15797814132648427
joint-a6e0056491e5774f3780,M2,291502,future_contact,P1,0.19962458744401418,0.9284800167906258,0.07420642045584615,0.9828021298461489,0.24406921339496546
joint-009541860623d2bb9f1f,M2,291502,no_contact_within_horizon,P1,0.46935909445303403,1.1234782194374755,0.1164294261068427,0.8962628744141261,0.6099617009038468
joint-ffe811f4bd9985f39189,M2,291502,no_contact_within_horizon,P1,0.65140508764021,0.9139408368969625,0.08998943949508792,0.7914576668929537,0.39697275259816567
joint-08c462a1ad92c4ade964,M2,291502,no_contact_within_horizon,P2,0.3009667769878803,1.1652500745006722,0.15293572020606605,0.966161633568758,0.5048073042176096
joint-2ce56f0ea0683dcda2f5,M2,291502,future_contact,P2,0.2653100987637202,0.8557895146955324,0.1557308271245682,0.976742029640455,-0.013486479723088534
joint-e8e45e1d9d7dc3a06a25,M2,291502,no_contact_within_horizon,P3,0.6361531411980307,1.3323234831143138,0.28692439782457535,0.8349073660640665,0.4099495786612802
joint-cf92d455cc3ba4b96312,M2,291502,future_contact,P3,0.6711874992519857,1.4969347557429338,0.40341952114965646,0.8479474147607126,-0.06705226395692344
joint-2a931d7a53cb9c33974d,M2,291503,future_contact,P0,0.6090293428848084,1.0169501054110577,0.016808055303482314,0.814669789636788,0.08997698429004945
joint-4352a0ffd3ac22d2f5e6,M2,291503,no_contact_within_horizon,P0,0.44575820676880984,1.512292479359654,0.4136266977804124,0.9831096117770303,0.7076184779195742
joint-147f59a58d0ef285e900,M2,291503,future_contact,P1,0.7617153383147286,0.7179378039045541,0.3313723377743607,0.7572658508889096,0.1234299576851212
joint-d0326bfd1d59b011ffc1,M2,291503,no_contact_within_horizon,P2,0.3152306786684084,1.3265365142272803,0.28257142096183185,0.989506051275275,0.659857872727127
joint-b0a6408213b275a6eec4,M2,291503,no_contact_within_horizon,P2,0.976959964049251,0.8397974245604782,0.17459457746635096,0.5344089096981032,0.35090621979232633
joint-f16075ae76c562b01afa,M2,291503,future_contact,P2,0.5139121073832871,0.8121698450707043,0.20804579188691774,0.8882327969399195,0.2519731242325682
joint-6c84dffefac07a85efd4,M2,291503,no_contact_within_horizon,P3,0.3455073965658667,1.334922018443652,0.2888728769952759,0.9810731620586636,0.826786810543774
