model_id,stratum,operator_or_layer,control,denominator,intended_median_anchor,control_median_anchor,dominance_fraction_anchor,intended_median_future,control_median_future,dominance_fraction_future,pair_pass
development_model_1,S2_interaction_sensitive,minimal_joint_correction,matched_wrong_vector,256,0.24841315682911175,0.289479636383132,0.6640625,0.2536833652785872,0.2954985305134413,0.69140625,false
development_model_2,S1_no_contact,minimal_joint_correction,matched_wrong_vector,256,0.1721221311570153,0.3060208714611412,0.875,0.1259307514433502,0.20077066052374176,0.921875,true
development_model_2,S2_interaction_sensitive,minimal_joint_correction,matched_wrong_vector,256,0.26082135157565023,0.29461872515070986,0.73046875,0.25332548066238747,0.27650306933770513,0.703125,false
development_model_3,S1_no_contact,minimal_joint_correction,matched_wrong_vector,256,0.19362968045812995,0.352831623309549,0.8515625,0.13800339894448865,0.22156320839331747,0.80078125,true
development_model_3,S2_interaction_sensitive,minimal_joint_correction,matched_wrong_vector,256,0.26305848470065485,0.34373911189698514,0.81640625,0.2773138520300612,0.31034944431973455,0.72265625,false
development_model_1,S1_no_contact,minimal_joint_correction,no_patch,256,0.08069109718942412,0.3331485146434702,1.0,0.07896825016810816,0.20630086036727294,1.0,true
development_model_1,S2_interaction_sensitive,minimal_joint_correction,no_patch,256,0.24841315682911175,0.3295746390444808,0.8203125,0.2536833652785872,0.31752528388947,0.6640625,false
development_model_2,S1_no_contact,minimal_joint_correction,no_patch,256,0.1721221311570153,0.338068478933661,0.8984375,0.1259307514433502,0.2063104935502021,0.9921875,true
development_model_2,S2_interaction_sensitive,minimal_joint_correction,no_patch,256,0.26082135157565023,0.32593180119551246,0.89453125,0.25332548066238747,0.318915237064719,0.67578125,false
development_model_3,S1_no_contact,minimal_joint_correction,no_patch,256,0.19362968045812995,0.3334252125703959,0.82421875,0.13800339894448865,0.2039934162953374,0.86328125,true
development_model_3,S2_interaction_sensitive,minimal_joint_correction,no_patch,256,0.26305848470065485,0.3258863525139992,0.76171875,0.2773138520300612,0.31859921873377633,0.69921875,false
development_model_1,S1_no_contact,minimal_joint_correction,random_equal_norm,256,0.08069109718942412,0.32683603855350646,1.0,0.07896825016810816,0.20888654022755082,1.0,true
development_model_1,S2_interaction_sensitive,minimal_joint_correction,random_equal_norm,256,0.24841315682911175,0.3264404826731878,0.8125,0.2536833652785872,0.327416393149922,0.72265625,false
development_model_2,S1_no_contact,minimal_joint_correction,random_equal_norm,256,0.1721221311570153,0.33539325858467417,0.92578125,0.1259307514433502,0.2094487415536514,1.0,true
development_model_2,S2_interaction_sensitive,minimal_joint_correction,random_equal_norm,256,0.26082135157565023,0.32457038676453936,0.8515625,0.25332548066238747,0.3184791943201335,0.68359375,false
development_model_3,S1_no_contact,minimal_joint_correction,random_equal_norm,256,0.19362968045812995,0.3262960127786684,0.8359375,0.13800339894448865,0.2079152477087182,0.86328125,true
development_model_3,S2_interaction_sensitive,minimal_joint_correction,random_equal_norm,256,0.26305848470065485,0.3219146200895404,0.7421875,0.2773138520300612,0.3224165735798014,0.69140625,false
development_model_1,S1_no_contact,minimal_joint_correction,wrong_object,256,0.08069109718942412,0.3321716523250304,1.0,0.07896825016810816,0.2596342800535718,1.0,true
development_model_1,S2_interaction_sensitive,minimal_joint_correction,wrong_object,256,0.24841315682911175,0.33573172017866315,0.83984375,0.2536833652785872,0.3560897311428679,0.72265625,false
development_model_2,S1_no_contact,minimal_joint_correction,wrong_object,256,0.1721221311570153,0.3314804498886055,0.94140625,0.1259307514433502,0.2412426251002412,1.0,true
development_model_2,S2_interaction_sensitive,minimal_joint_correction,wrong_object,256,0.26082135157565023,0.3204829195311817,0.7265625,0.25332548066238747,0.3481090715473616,0.73046875,false
development_model_3,S1_no_contact,minimal_joint_correction,wrong_object,256,0.19362968045812995,0.31919227697766694,0.828125,0.13800339894448865,0.2620551210694977,0.99609375,true
development_model_3,S2_interaction_sensitive,minimal_joint_correction,wrong_object,256,0.26305848470065485,0.3201355804036554,0.7578125,0.2773138520300612,0.349917960890696,0.78515625,false
development_model_1,S1_no_contact,native_joint,matched_wrong_vector,256,0.05454116133892818,0.4378502409826799,1.0,0.06911167021107464,0.24625812706616762,1.0,true
development_model_1,S2_interaction_sensitive,native_joint,matched_wrong_vector,256,0.22774885102978826,0.3519351202303511,0.88671875,0.21796634980415402,0.3403202734222551,0.875,true
development_model_2,S1_no_contact,native_joint,matched_wrong_vector,256,0.04995203417883132,0.416281138809906,1.0,0.06126386230812954,0.270954957926317,0.98828125,true
development_model_2,S2_interaction_sensitive,native_joint,matched_wrong_vector,256,0.2444664111583057,0.3841578690844344,0.9375,0.19752929183481277,0.3502124697572966,0.89453125,true
development_model_3,S1_no_contact,native_joint,matched_wrong_vector,256,0.05741759623006347,0.42044244809275855,1.0,0.07287602628499962,0.24662851093668217,0.99609375,true
development_model_3,S2_interaction_sensitive,native_joint,matched_wrong_vector,256,0.23782068786684893,0.32845885330469754,0.8203125,0.24700093573150125,0.3063925352428626,0.82421875,true
development_model_1,S1_no_contact,native_joint,wrong_object,256,0.05454116133892818,0.33673128419495924,1.0,0.06911167021107464,0.2738032378849298,1.0,true
development_model_1,S2_interaction_sensitive,native_joint,wrong_object,256,0.22774885102978826,0.3268136767811777,0.859375,0.21796634980415402,0.38142010423552447,0.8828125,true
development_model_2,S1_no_contact,native_joint,wrong_object,256,0.04995203417883132,0.33280890884398395,1.0,0.06126386230812954,0.2737777524785444,1.0,true
development_model_2,S2_interaction_sensitive,native_joint,wrong_object,256,0.2444664111583057,0.32235077232854725,0.7265625,0.19752929183481277,0.3866128795485878,0.9453125,false
development_model_3,S1_no_contact,native_joint,wrong_object,256,0.05741759623006347,0.32628368825966375,1.0,0.07287602628499962,0.2620175923094218,1.0,true
development_model_3,S2_interaction_sensitive,native_joint,wrong_object,256,0.23782068786684893,0.31362137394116174,0.73046875,0.24700093573150125,0.37249422415058664,0.78125,false
