model_id,stratum,layer,control,denominator,intended_median_anchor,control_median_anchor,dominance_fraction_anchor,intended_median_future,control_median_future,dominance_fraction_future,pair_pass
development_model_2,S2_interaction_sensitive,addressable_affine,no_patch,256,0.26130948701101275,0.3296493620983233,0.8984375,0.26327774922384706,0.3270077530791289,0.671875,false
development_model_3,S2_interaction_sensitive,addressable_affine,no_patch,256,0.27236885148982215,0.3339475498546597,0.75,0.2830190755424995,0.3211313129476408,0.73046875,false
development_model_1,S2_interaction_sensitive,native_joint,no_patch,256,0.23197195819335004,0.33590269172657106,0.90234375,0.21338419180844836,0.32397930264595165,0.87109375,true
development_model_2,S2_interaction_sensitive,native_joint,no_patch,256,0.2353135820460877,0.3296493620983233,0.99609375,0.2007634496419925,0.3270077530791289,0.9296875,true
development_model_3,S2_interaction_sensitive,native_joint,no_patch,256,0.23011359181810623,0.3339475498546597,0.9140625,0.25088608781598387,0.3211313129476408,0.73046875,false
development_model_1,S2_interaction_sensitive,rank4_oracle,no_patch,256,0.22896248806739602,0.33590269172657106,0.92578125,0.21550023871146579,0.32397930264595165,0.8828125,true
development_model_2,S2_interaction_sensitive,rank4_oracle,no_patch,256,0.244604009978375,0.3296493620983233,0.9140625,0.2065814644129214,0.3270077530791289,0.94140625,true
development_model_3,S2_interaction_sensitive,rank4_oracle,no_patch,256,0.2326599600648659,0.3339475498546597,0.890625,0.23943677826433946,0.3211313129476408,0.74609375,false
development_model_1,S1_no_contact,addressable_affine,random_equal_norm,256,0.08510572806171665,0.3290561631314736,1.0,0.07934712492126106,0.2113154505630795,1.0,true
development_model_2,S1_no_contact,addressable_affine,random_equal_norm,256,0.19297592566082356,0.33553468012351834,0.93359375,0.13960213399852328,0.207283412793612,0.984375,true
development_model_3,S1_no_contact,addressable_affine,random_equal_norm,256,0.1900894895771803,0.33294696973228893,0.84375,0.14033229129499564,0.21096280414982144,0.85546875,true
development_model_1,S1_no_contact,rank4_oracle,random_equal_norm,256,0.06452850652680116,0.3273561714460221,1.0,0.0804275227554533,0.21079614767769744,1.0,true
development_model_2,S1_no_contact,rank4_oracle,random_equal_norm,256,0.13357543802779093,0.3302566608829531,0.82421875,0.10617826476764938,0.2092715153666072,0.87890625,true
development_model_3,S1_no_contact,rank4_oracle,random_equal_norm,256,0.09912766039465311,0.3358565108904842,1.0,0.08302657368554872,0.20971734986259766,0.99609375,true
development_model_1,S2_interaction_sensitive,addressable_affine,random_equal_norm,256,0.25366332900103483,0.33374601458816155,0.80859375,0.25297385851173015,0.32961023029962977,0.71875,false
development_model_2,S2_interaction_sensitive,addressable_affine,random_equal_norm,256,0.26130948701101275,0.33571242200351414,0.85546875,0.26327774922384706,0.3248912089554833,0.671875,false
development_model_3,S2_interaction_sensitive,addressable_affine,random_equal_norm,256,0.27236885148982215,0.33096033927548774,0.74609375,0.2830190755424995,0.325574368268155,0.73828125,false
